ID_venta,Fecha_venta,Marca,Tipo,Capacidad_kg,Altura_torre_mm,Provincia,Cliente_tipo,Año_fabricación,Estado,Método_pago,Vendedor,Horas_uso,Precio_USD
VENT00172,2022-01-25,Crown,eléctrico,5000,3000,Santa Fe,distribuidor,2015.0,usado,leasing,Potencia SRL,8414.031066714833,42210.82
VENT00372,2022-01-27,Linde,diésel,2500,4000,,empresa logística,2022.0,nuevo,crédito,Potencia SRL,1530.0757021543156,39629.06
VENT00937,2022-01-27,Linde,eléctrico,5000,4000,Chubut,particular,2023.0,nuevo,contado,Forklift Solutions,941.0830120751224,69856.58
VENT00795,2022-01-27,Yale,eléctrico,5000,3000,Neuquén,distribuidor,2020.0,reacondicionado,leasing,Grupo Industrial SA,4831.116664319032,55597.05
VENT01074,2022-01-27,Hyster,diésel,5000,4700,Buenos Aires,distribuidor,,nuevo,leasing,Autoelevadores Norte,419.0082542182375,67204.15
VENT00883,2022-01-29,Hyster,eléctrico,3500,6000,Córdoba,empresa logística,2019.0,usado,crédito,Grupo Industrial SA,5682.974734156458,37833.3
VENT00641,2022-01-30,Still,diésel,2500,3000,Mendoza,distribuidor,2022.0,nuevo,contado,Autoelevadores Norte,1406.1365925935108,40430.93
VENT00011,2022-01-31,Still,diésel,1800,4000,Chubut,distribuidor,2020.0,usado,contado,Forklift Solutions,2963.6703866807516,15838.88
VENT01050,2022-02-01,Still,eléctrico,5000,4000,Neuquén,particular,2021.0,nuevo,crédito,Potencia SRL,2189.9534616823466,62708.09
VENT00926,2022-02-02,Still,diésel,3500,4000,Córdoba,distribuidor,2023.0,nuevo,crédito,Autoelevadores Norte,1143.293793586952,51676.84
VENT01203,2022-02-02,Toyota,eléctrico,2500,3000,Mendoza,distribuidor,2020.0,usado,crédito,Forklift Solutions,4768.370681697927,21731.53
VENT00378,2022-02-03,Linde,diésel,2500,3000,,distribuidor,2019.0,usado,,Potencia SRL,5459.535112436932,18063.16
VENT00238,2022-02-05,Crown,diésel,2500,3000,Neuquén,distribuidor,2021.0,reacondicionado,crédito,Forklift Solutions,4190.696749462964,30325.99
VENT01202,2022-02-05,Toyota,eléctrico,2500,4000,Mendoza,empresa logística,2016.0,usado,leasing,Autoelevadores Norte,6461.640558917376,23282.31
VENT01048,2022-02-05,Still,eléctrico,2500,3000,Chubut,distribuidor,2020.0,usado,crédito,Potencia SRL,1605.21093384271,24982.04
VENT00313,2022-02-07,Hyster,eléctrico,5000,4000,Mendoza,particular,2024.0,usado,contado,Forklift Solutions,5020.768053348874,40877.5
VENT00099,2022-02-07,Hyster,diésel,1800,4700,Chubut,distribuidor,2019.0,usado,leasing,Grupo Industrial SA,4205.752564247974,15403.32
VENT00875,2022-02-07,Toyota,eléctrico,3500,3000,,particular,2022.0,nuevo,contado,Grupo Industrial SA,902.6932848886152,52623.11
VENT00357,2022-02-08,Crown,diésel,3500,3000,Buenos Aires,,2018.0,nuevo,leasing,Potencia SRL,2034.721240075382,48480.71
VENT00902,2022-02-08,Linde,eléctrico,1800,3000,Santa Fe,empresa logística,2016.0,usado,contado,Forklift Solutions,6315.326749036312,12000.0
VENT00516,2022-02-08,Still,eléctrico,3500,4000,Santa Fe,particular,2024.0,usado,leasing,Autoelevadores Norte,1988.1773989447702,33152.87
VENT00879,2022-02-09,Linde,gas,2500,4700,Mendoza,particular,2021.0,usado,contado,Autoelevadores Norte,3794.452776693707,25132.91
VENT01160,2022-02-12,Linde,eléctrico,1800,3000,Córdoba,particular,2019.0,usado,crédito,Forklift Solutions,4017.9337884054767,13453.64
VENT00558,2022-02-12,Still,eléctrico,2500,6000,Buenos Aires,distribuidor,2024.0,usado,crédito,Potencia SRL,3129.039794000047,30416.86
VENT00291,2022-02-14,Linde,gas,2500,6000,Neuquén,empresa logística,2023.0,usado,leasing,Potencia SRL,3036.716892925878,29563.55
VENT00101,2022-02-15,Still,eléctrico,1800,4000,Córdoba,empresa logística,2016.0,nuevo,leasing,Potencia SRL,2853.483037313176,26619.28
VENT00975,2022-02-15,Still,diésel,3500,6000,Neuquén,distribuidor,2020.0,usado,crédito,Autoelevadores Norte,4907.1169220076,31543.01
VENT01234,2022-02-15,Hyster,eléctrico,1800,4000,Mendoza,particular,2022.0,nuevo,leasing,Forklift Solutions,1188.2230509027872,36192.06
VENT01248,2022-02-17,Still,eléctrico,5000,4700,Neuquén,particular,2023.0,nuevo,contado,Grupo Industrial SA,745.9799498260903,69905.7
VENT00765,2022-02-18,Linde,diésel,1800,4700,Córdoba,particular,2022.0,reacondicionado,crédito,Potencia SRL,3745.5534947657598,24762.75
VENT01020,2022-02-19,Hyster,diésel,2500,6000,Córdoba,particular,2017.0,usado,contado,Forklift Solutions,4013.068996289925,28076.2
VENT00043,2022-02-20,Still,gas,3500,4000,,empresa logística,2022.0,usado,leasing,Grupo Industrial SA,2552.7306055638655,31317.15
VENT00286,2022-02-22,Crown,diésel,2500,4700,Neuquén,distribuidor,2021.0,usado,crédito,Potencia SRL,,24141.31
VENT00857,2022-02-23,Crown,eléctrico,5000,4000,Córdoba,distribuidor,2018.0,nuevo,,Grupo Industrial SA,1426.0563744465783,65727.58
VENT00146,2022-02-23,Hyster,eléctrico,3500,4000,Santa Fe,distribuidor,2018.0,reacondicionado,leasing,Potencia SRL,3250.957740344689,41789.19
VENT00629,2022-02-23,Still,eléctrico,2500,4000,Córdoba,distribuidor,2018.0,usado,contado,Potencia SRL,3668.006961327913,25028.17
VENT00292,2022-02-24,Crown,gas,3500,4700,Mendoza,distribuidor,2018.0,usado,crédito,Forklift Solutions,7188.049016964156,31909.48
VENT01031,2022-02-24,Linde,diésel,2500,3000,Buenos Aires,empresa logística,2017.0,usado,leasing,Autoelevadores Norte,8788.34162570236,14569.73
VENT00611,2022-02-27,Toyota,diésel,5000,4000,Neuquén,particular,2025.0,usado,leasing,Autoelevadores Norte,4765.307633070586,40580.15
VENT01014,2022-02-27,Crown,gas,3500,6000,Mendoza,empresa logística,2025.0,reacondicionado,crédito,Autoelevadores Norte,2913.378803782944,43438.93
VENT00169,2022-03-01,Crown,diésel,3500,3000,Santa Fe,particular,2025.0,usado,crédito,Potencia SRL,2023.4938096734847,32455.88
VENT00600,2022-03-01,Still,eléctrico,3500,4000,Chubut,distribuidor,2025.0,usado,contado,Grupo Industrial SA,2938.448704464574,35898.67
VENT00336,2022-03-01,Yale,eléctrico,3500,3000,Buenos Aires,,2017.0,usado,contado,Forklift Solutions,3765.086879143847,30875.14
VENT01073,2022-03-03,Hyster,eléctrico,5000,3000,Buenos Aires,empresa logística,2020.0,usado,leasing,Grupo Industrial SA,2698.4125948684205,48016.94
VENT00473,2022-03-05,Linde,diésel,5000,3000,Santa Fe,empresa logística,,reacondicionado,leasing,Grupo Industrial SA,3716.232694078228,46189.26
VENT01195,2022-03-08,Toyota,diésel,2500,3000,Mendoza,distribuidor,2016.0,nuevo,leasing,Grupo Industrial SA,3644.442547913806,40473.68
VENT00487,2022-03-08,Toyota,diésel,1800,4000,Santa Fe,,2018.0,nuevo,contado,Autoelevadores Norte,2792.6866334134074,28526.33
VENT00059,2022-03-08,Crown,eléctrico,2500,3000,Mendoza,empresa logística,2024.0,usado,leasing,Grupo Industrial SA,2969.996499959785,22877.61
VENT00515,2022-03-08,Linde,eléctrico,2500,4700,Buenos Aires,distribuidor,2024.0,usado,leasing,Forklift Solutions,2221.418138262553,31885.17
VENT00348,2022-03-08,Crown,eléctrico,3500,4000,Santa Fe,empresa logística,2023.0,reacondicionado,leasing,Autoelevadores Norte,3788.544441695257,43568.94
VENT00030,2022-03-09,Toyota,eléctrico,2500,4000,Chubut,empresa logística,2015.0,usado,contado,Autoelevadores Norte,2714.3098717569155,23014.12
VENT00335,2022-03-09,Toyota,eléctrico,2500,4000,Buenos Aires,distribuidor,2018.0,usado,crédito,Potencia SRL,5095.173073990009,28328.23
VENT00958,2022-03-10,Toyota,diésel,3500,6000,Córdoba,particular,2015.0,nuevo,contado,Forklift Solutions,3089.406891726652,48502.67
VENT00301,2022-03-17,Yale,diésel,3500,6000,Mendoza,distribuidor,2016.0,usado,contado,Forklift Solutions,6944.457538752289,27221.74
VENT00149,2022-03-17,Hyster,eléctrico,2500,6000,Mendoza,distribuidor,2018.0,usado,,Potencia SRL,3711.315717343979,33982.88
VENT00702,2022-03-17,Still,diésel,1800,3000,Córdoba,distribuidor,2025.0,usado,crédito,Grupo Industrial SA,1574.0738168786766,17126.55
VENT00978,2022-03-17,Linde,diésel,2500,4700,Chubut,distribuidor,2017.0,usado,crédito,Autoelevadores Norte,5963.365854269514,20984.63
VENT00819,2022-03-21,Crown,gas,2500,6000,Neuquén,particular,2017.0,usado,contado,Potencia SRL,7555.932611130374,22445.08
VENT00529,2022-03-24,Still,eléctrico,1800,4000,Chubut,particular,2016.0,usado,crédito,Potencia SRL,3406.0124865841153,17249.33
VENT00459,2022-03-24,Still,eléctrico,2500,3000,Neuquén,particular,2019.0,nuevo,leasing,Forklift Solutions,,42220.62
VENT01101,2022-03-26,Crown,gas,2500,6000,Chubut,particular,2017.0,nuevo,crédito,Autoelevadores Norte,2339.0185962308146,42513.89
VENT00425,2022-03-26,Yale,eléctrico,2500,4000,Córdoba,distribuidor,2024.0,usado,leasing,Autoelevadores Norte,1336.5145705856753,32607.54
VENT00007,2022-03-26,Hyster,eléctrico,2500,4000,Neuquén,distribuidor,2018.0,reacondicionado,leasing,Potencia SRL,6351.88767840331,29079.27
VENT00617,2022-03-31,Linde,eléctrico,3500,4700,Santa Fe,particular,2020.0,usado,contado,Potencia SRL,5427.6964855106,27415.24
VENT00705,2022-04-03,Still,gas,1800,3000,Mendoza,,2020.0,usado,contado,Potencia SRL,4513.5672588175075,13045.51
VENT00084,2022-04-03,Linde,eléctrico,2500,4000,Córdoba,distribuidor,2023.0,usado,contado,Grupo Industrial SA,3042.6438906300373,25639.09
VENT00033,2022-04-05,Still,gas,2500,4700,Neuquén,particular,2020.0,reacondicionado,leasing,Forklift Solutions,2470.376945921737,33917.55
VENT01039,2022-04-06,Hyster,diésel,3500,4000,Córdoba,particular,,usado,contado,Autoelevadores Norte,4630.291825720952,31359.69
VENT00860,2022-04-06,Linde,eléctrico,2500,6000,Santa Fe,,2021.0,nuevo,leasing,Potencia SRL,1638.6234149666168,47391.08
VENT00723,2022-04-08,Yale,eléctrico,2500,6000,Buenos Aires,distribuidor,2015.0,usado,contado,Grupo Industrial SA,8434.599043303648,24233.35
VENT00851,2022-04-08,Yale,gas,5000,4700,Córdoba,particular,2019.0,usado,crédito,Forklift Solutions,6724.109468104914,42980.73
VENT01191,2022-04-09,Hyster,diésel,1800,4700,Mendoza,particular,2018.0,reacondicionado,contado,Potencia SRL,5830.748600620709,20200.47
VENT01188,2022-04-10,Yale,diésel,1800,6000,Santa Fe,particular,2020.0,nuevo,leasing,Autoelevadores Norte,2442.8662156486325,35303.9
VENT00370,2022-04-12,Hyster,eléctrico,2500,4700,Córdoba,particular,2025.0,usado,crédito,Autoelevadores Norte,3395.537587882707,29356.54
VENT00375,2022-04-14,Still,diésel,2500,4700,Córdoba,particular,2023.0,usado,crédito,Potencia SRL,,27934.66
VENT00355,2022-04-14,Still,eléctrico,1800,4000,Córdoba,distribuidor,2025.0,reacondicionado,crédito,Autoelevadores Norte,4909.71581159262,31529.15
VENT00437,2022-04-17,Linde,eléctrico,2500,4700,Buenos Aires,distribuidor,2020.0,usado,leasing,Forklift Solutions,5033.1095220076895,21000.09
VENT00477,2022-04-18,Linde,diésel,1800,3000,Santa Fe,,2021.0,reacondicionado,leasing,Forklift Solutions,3407.1036624189546,17690.35
VENT00078,2022-04-19,Toyota,eléctrico,5000,3000,,,2025.0,usado,leasing,Autoelevadores Norte,3508.1242939779668,47783.83
VENT00069,2022-04-19,Linde,gas,3500,6000,,empresa logística,2017.0,usado,crédito,Potencia SRL,,34739.72
VENT00984,2022-04-20,Still,gas,2500,6000,Mendoza,distribuidor,2025.0,reacondicionado,contado,Autoelevadores Norte,4162.516160160441,35679.98
VENT00587,2022-04-21,Crown,diésel,3500,6000,Mendoza,empresa logística,2023.0,usado,contado,Potencia SRL,4847.741585542578,33282.51
VENT01136,2022-04-22,Hyster,diésel,3500,3000,Córdoba,distribuidor,2020.0,usado,contado,Grupo Industrial SA,6000.560156691077,21955.9
VENT00110,2022-04-23,Yale,diésel,1800,6000,Chubut,distribuidor,2023.0,usado,contado,Autoelevadores Norte,,18925.4
VENT01035,2022-04-23,Linde,diésel,3500,4000,Santa Fe,distribuidor,2017.0,usado,leasing,Autoelevadores Norte,3857.3033071665404,24879.28
VENT00498,2022-04-24,Crown,diésel,1800,4000,Buenos Aires,particular,2018.0,usado,,Grupo Industrial SA,4199.213877478683,12374.84
VENT00312,2022-04-25,Still,eléctrico,5000,3000,Neuquén,particular,,reacondicionado,crédito,Forklift Solutions,2600.385672402361,56303.28
VENT00673,2022-04-28,Toyota,gas,3500,4000,Córdoba,distribuidor,2020.0,reacondicionado,leasing,Forklift Solutions,2042.0574515882363,43466.96
VENT01133,2022-04-29,Toyota,eléctrico,3500,6000,Neuquén,empresa logística,2017.0,usado,contado,Grupo Industrial SA,5282.186827794918,39903.4
VENT00440,2022-04-29,Yale,eléctrico,5000,3000,Mendoza,particular,2018.0,usado,contado,Potencia SRL,5414.846928120153,44197.43
VENT00614,2022-04-30,Linde,diésel,2500,4000,Córdoba,distribuidor,2022.0,nuevo,contado,Potencia SRL,2033.9445055496687,38152.45
VENT00961,2022-05-01,Linde,gas,2500,4000,Chubut,particular,2017.0,reacondicionado,leasing,Autoelevadores Norte,3025.187123537907,32063.4
VENT01217,2022-05-01,Still,diésel,3500,4700,Santa Fe,distribuidor,2018.0,reacondicionado,crédito,Potencia SRL,6040.568600022949,33743.08
VENT00450,2022-05-02,Hyster,eléctrico,2500,3000,Santa Fe,distribuidor,2016.0,reacondicionado,crédito,Autoelevadores Norte,4666.328553572696,26393.01
VENT00435,2022-05-03,Crown,eléctrico,3500,4700,Neuquén,distribuidor,,reacondicionado,contado,Potencia SRL,1391.459060319413,50064.59
VENT00202,2022-05-03,Toyota,gas,5000,6000,,distribuidor,2019.0,usado,leasing,Forklift Solutions,7672.764737296202,46357.61
VENT00441,2022-05-04,Hyster,diésel,1800,4000,Chubut,distribuidor,,reacondicionado,contado,Autoelevadores Norte,3513.4465004428766,21438.94
VENT00900,2022-05-05,Linde,eléctrico,1800,4700,Mendoza,particular,2018.0,usado,crédito,Forklift Solutions,4456.256522014032,18305.93
VENT00847,2022-05-05,Hyster,eléctrico,5000,4700,Chubut,empresa logística,2016.0,usado,,Autoelevadores Norte,10017.093528210211,42762.96
VENT00300,2022-05-05,Linde,eléctrico,2500,4000,Mendoza,particular,2023.0,usado,leasing,Autoelevadores Norte,3082.4513499303084,25351.27
VENT00651,2022-05-07,Hyster,gas,1800,6000,Chubut,distribuidor,2021.0,usado,crédito,Grupo Industrial SA,1249.44716500832,23092.46
VENT01127,2022-05-08,Toyota,eléctrico,2500,3000,Córdoba,particular,2018.0,nuevo,contado,Autoelevadores Norte,3158.7709761235915,40574.04
VENT00604,2022-05-10,Hyster,diésel,2500,4000,,distribuidor,2015.0,nuevo,crédito,Forklift Solutions,2137.1304011853977,38717.54
VENT00057,2022-05-10,Still,diésel,1800,3000,Córdoba,empresa logística,2021.0,reacondicionado,crédito,Grupo Industrial SA,5735.118794786802,19412.46
VENT01082,2022-05-11,Crown,diésel,1800,4700,Buenos Aires,particular,,usado,contado,Autoelevadores Norte,5633.559188916503,12000.0
VENT00165,2022-05-12,Yale,gas,1800,4700,,particular,2016.0,usado,crédito,Forklift Solutions,5685.338952104649,15988.86
VENT01117,2022-05-14,Still,gas,3500,4000,Mendoza,particular,2016.0,reacondicionado,crédito,Forklift Solutions,3461.3579206273894,40122.43
VENT00423,2022-05-14,Hyster,gas,3500,4700,Chubut,particular,2019.0,nuevo,crédito,Potencia SRL,2083.8151446029538,54239.74
VENT00410,2022-05-14,Hyster,diésel,1800,4700,Córdoba,distribuidor,2023.0,usado,crédito,Autoelevadores Norte,,18731.97
VENT00996,2022-05-14,Toyota,diésel,5000,3000,Buenos Aires,particular,2024.0,usado,crédito,Forklift Solutions,3452.4315303088897,46712.16
VENT00191,2022-05-16,Still,eléctrico,2500,4000,Santa Fe,distribuidor,2022.0,nuevo,contado,Autoelevadores Norte,741.3821143851367,46627.88
VENT00223,2022-05-17,Toyota,gas,3500,6000,Chubut,distribuidor,2024.0,usado,leasing,Potencia SRL,5240.9863212992,35315.48
VENT00284,2022-05-18,Hyster,gas,2500,4700,Córdoba,distribuidor,,reacondicionado,crédito,Autoelevadores Norte,1416.0899569024193,34314.08
VENT00373,2022-05-18,Yale,eléctrico,1800,4000,Santa Fe,distribuidor,2023.0,usado,contado,Forklift Solutions,5399.2811094630015,14725.56
VENT00260,2022-05-22,Crown,diésel,1800,4000,Mendoza,particular,2018.0,usado,leasing,Grupo Industrial SA,3790.272353195175,12459.61
VENT00340,2022-05-23,Still,diésel,5000,4000,Buenos Aires,empresa logística,2020.0,nuevo,contado,Grupo Industrial SA,2175.4540055011585,60451.35
VENT00038,2022-05-23,Toyota,eléctrico,2500,3000,Neuquén,particular,2023.0,nuevo,crédito,Grupo Industrial SA,788.4906120535164,48231.17
VENT00889,2022-05-26,Hyster,eléctrico,1800,4000,Córdoba,,,usado,contado,Grupo Industrial SA,6145.409150115413,14860.6
VENT00371,2022-05-28,Still,gas,2500,4700,Córdoba,,2019.0,usado,contado,Forklift Solutions,4780.888408589681,22523.7
VENT00434,2022-05-28,Toyota,eléctrico,5000,3000,Córdoba,distribuidor,2024.0,reacondicionado,contado,Forklift Solutions,2616.508767237653,55249.3
VENT00207,2022-05-29,Crown,eléctrico,1800,4000,Santa Fe,particular,2025.0,usado,crédito,Autoelevadores Norte,1734.8297351890708,14513.37
VENT00665,2022-05-29,Toyota,diésel,2500,4700,Neuquén,distribuidor,2019.0,nuevo,contado,Potencia SRL,,42421.5
VENT01185,2022-05-30,Crown,diésel,1800,4000,Neuquén,distribuidor,2024.0,usado,crédito,Grupo Industrial SA,3378.983923799743,15189.41
VENT00401,2022-05-31,Hyster,eléctrico,1800,4700,Chubut,distribuidor,,reacondicionado,crédito,Autoelevadores Norte,6108.65229785908,20996.83
VENT00884,2022-06-01,Yale,eléctrico,3500,6000,Chubut,distribuidor,2019.0,nuevo,crédito,Grupo Industrial SA,2383.8055884915616,52981.98
VENT00983,2022-06-05,Hyster,eléctrico,5000,6000,Buenos Aires,particular,,reacondicionado,crédito,Grupo Industrial SA,3093.567393684868,59920.05
VENT00635,2022-06-06,Crown,eléctrico,2500,4700,Chubut,,2024.0,usado,,Potencia SRL,4107.855436325485,25547.77
VENT01178,2022-06-06,Crown,diésel,2500,3000,Chubut,particular,2022.0,reacondicionado,contado,Autoelevadores Norte,5580.203640799653,25737.99
VENT00100,2022-06-07,Linde,gas,2500,4000,,distribuidor,,reacondicionado,contado,Potencia SRL,2131.6272631182596,31982.51
VENT00124,2022-06-10,Still,eléctrico,2500,3000,Neuquén,empresa logística,2018.0,usado,leasing,Forklift Solutions,5033.690506949495,21579.87
VENT00771,2022-06-11,Linde,diésel,1800,4700,Chubut,distribuidor,2019.0,usado,leasing,Potencia SRL,7902.161139886821,12000.0
VENT01068,2022-06-11,Still,diésel,2500,4000,Chubut,distribuidor,2017.0,usado,crédito,Potencia SRL,7562.134161303546,16437.62
VENT00455,2022-06-12,Crown,eléctrico,2500,4700,Mendoza,particular,2022.0,usado,crédito,Grupo Industrial SA,1990.6958028228917,31774.84
VENT00677,2022-06-13,Crown,diésel,2500,4700,Chubut,empresa logística,2016.0,usado,contado,Forklift Solutions,5336.04468024721,20786.92
VENT00547,2022-06-15,Hyster,gas,2500,4000,Chubut,particular,2016.0,usado,leasing,Grupo Industrial SA,5943.403316628328,21580.21
VENT00182,2022-06-15,Still,diésel,3500,3000,Córdoba,distribuidor,2025.0,usado,crédito,Forklift Solutions,3161.6218094983483,27734.55
VENT00810,2022-06-15,Toyota,eléctrico,2500,3000,Córdoba,particular,2024.0,usado,contado,Autoelevadores Norte,4126.131206233079,23990.22
VENT00695,2022-06-17,Hyster,gas,1800,4700,Córdoba,distribuidor,2024.0,usado,leasing,Grupo Industrial SA,1824.1354168918997,18654.06
VENT00080,2022-06-19,Toyota,diésel,3500,3000,Santa Fe,empresa logística,2015.0,reacondicionado,contado,Autoelevadores Norte,6912.6115722637605,25241.39
VENT00334,2022-06-19,Crown,diésel,3500,3000,Chubut,empresa logística,,usado,contado,Forklift Solutions,6214.0193299826815,21863.31
VENT00751,2022-06-20,Still,diésel,1800,4000,Buenos Aires,particular,2021.0,nuevo,crédito,Forklift Solutions,1494.7312964008886,33773.47
VENT00430,2022-06-20,Hyster,gas,2500,6000,Santa Fe,distribuidor,2015.0,usado,contado,Grupo Industrial SA,5583.788548413713,23259.36
VENT00939,2022-06-21,Crown,eléctrico,3500,4000,Córdoba,particular,2025.0,nuevo,contado,Potencia SRL,,53601.61
VENT00461,2022-06-21,Crown,diésel,1800,4700,Santa Fe,particular,2019.0,usado,leasing,Forklift Solutions,3422.115320338976,17740.78
VENT00381,2022-06-22,Yale,gas,2500,4000,,empresa logística,2015.0,usado,leasing,Grupo Industrial SA,2285.8816163334177,30601.61
VENT00460,2022-06-23,Still,eléctrico,3500,4700,Córdoba,empresa logística,2017.0,usado,crédito,Autoelevadores Norte,2691.5018571710457,35591.15
VENT00091,2022-06-24,Hyster,eléctrico,1800,6000,Buenos Aires,distribuidor,2022.0,usado,contado,Grupo Industrial SA,4417.222066900662,19475.51
VENT00645,2022-06-24,Still,diésel,2500,3000,Neuquén,empresa logística,2017.0,nuevo,leasing,Autoelevadores Norte,2716.845253925502,36634.15
VENT00133,2022-06-25,Crown,diésel,3500,6000,Neuquén,,2017.0,usado,leasing,Forklift Solutions,6848.8062850818405,27079.46
VENT00605,2022-06-26,Still,diésel,2500,4700,Córdoba,particular,2020.0,usado,contado,Grupo Industrial SA,5556.944951066898,23550.0
VENT01034,2022-06-26,Still,eléctrico,1800,6000,Mendoza,particular,2024.0,usado,,Autoelevadores Norte,2487.9970083981225,26498.1
VENT00041,2022-06-28,Toyota,eléctrico,1800,4000,,particular,2015.0,reacondicionado,crédito,Grupo Industrial SA,5458.077873356185,15907.1
VENT00719,2022-07-01,Crown,diésel,2500,3000,Santa Fe,empresa logística,,reacondicionado,leasing,Forklift Solutions,3049.6112589460854,25589.85
VENT00813,2022-07-02,Crown,eléctrico,5000,3000,,particular,2023.0,usado,crédito,Forklift Solutions,2427.799708622456,51136.73
VENT00295,2022-07-05,Still,gas,5000,4000,Buenos Aires,particular,,usado,leasing,Potencia SRL,3868.9457620494304,47555.04
VENT00656,2022-07-06,Linde,eléctrico,1800,4700,,,2018.0,nuevo,contado,Forklift Solutions,,36160.07
VENT00589,2022-07-06,Yale,diésel,3500,3000,Buenos Aires,distribuidor,2025.0,usado,crédito,Potencia SRL,1405.486020466782,31189.2
VENT00773,2022-07-06,Crown,eléctrico,3500,4000,Santa Fe,distribuidor,2024.0,reacondicionado,leasing,Grupo Industrial SA,2236.3182065193387,45455.63
VENT01162,2022-07-08,Toyota,diésel,2500,3000,Córdoba,empresa logística,2025.0,reacondicionado,,Potencia SRL,4110.870270384137,32740.11
VENT00588,2022-07-08,Hyster,diésel,3500,4000,Neuquén,empresa logística,2024.0,nuevo,crédito,Forklift Solutions,829.3034573055318,52747.36
VENT00540,2022-07-08,Hyster,gas,2500,4700,Chubut,distribuidor,2017.0,nuevo,contado,Forklift Solutions,,42268.83
VENT01200,2022-07-09,Toyota,diésel,3500,4700,Córdoba,particular,2020.0,reacondicionado,contado,Autoelevadores Norte,2724.2924622367364,40333.45
VENT01120,2022-07-09,Still,eléctrico,3500,4000,Santa Fe,distribuidor,2022.0,usado,crédito,Grupo Industrial SA,3377.4351312133167,35798.97
VENT01247,2022-07-11,Crown,diésel,2500,3000,Córdoba,empresa logística,2015.0,nuevo,crédito,Potencia SRL,3569.0918646784758,32195.41
VENT00557,2022-07-15,Yale,diésel,2500,4700,Chubut,,2025.0,nuevo,crédito,Autoelevadores Norte,421.7963299031878,46860.78
VENT00704,2022-07-16,Yale,diésel,2500,4700,Santa Fe,particular,2015.0,nuevo,contado,Grupo Industrial SA,3269.978358848605,40671.03
VENT00947,2022-07-19,Still,eléctrico,1800,4700,Santa Fe,distribuidor,2019.0,nuevo,contado,Grupo Industrial SA,2588.160901887961,37719.33
VENT00998,2022-07-19,Yale,diésel,5000,4700,Chubut,particular,2025.0,nuevo,leasing,Grupo Industrial SA,,64136.04
VENT00563,2022-07-19,Still,eléctrico,2500,3000,Santa Fe,empresa logística,2022.0,usado,crédito,Forklift Solutions,3300.8078946607766,23795.23
VENT00180,2022-07-20,Linde,gas,3500,4700,Buenos Aires,distribuidor,2015.0,usado,leasing,Grupo Industrial SA,8328.264009698845,26222.83
VENT00591,2022-07-22,Crown,eléctrico,1800,4700,Córdoba,distribuidor,2021.0,usado,leasing,Potencia SRL,5124.7646819108995,19420.65
VENT00931,2022-07-23,Yale,gas,2500,3000,Chubut,distribuidor,2024.0,usado,crédito,Forklift Solutions,2558.022127334614,28607.64
VENT00755,2022-07-23,Still,eléctrico,2500,3000,Córdoba,distribuidor,,reacondicionado,contado,Forklift Solutions,5190.171126411642,29460.21
